Date,Dallas,Tarrant,Collin
1998-01,2.7068,3.0848,0.7617
1998-02,2.911,2.7835,0.8302
1998-03,2.9484,2.752,0.8102
1998-04,3.3432,3.1231,0.8275
1998-05,2.8798,2.961,0.7957
1998-06,2.4824,2.6105,0.7792
1998-07,2.5496,2.6419,0.9454
1998-08,2.4735,2.4775,0.7987
1998-09,2.2998,2.464,0.8732
1998-10,2.7057,2.8373,0.7599
1998-11,2.4672,1.6811,0.3757
1998-12,2.2859,1.7269,0.4685
1999-01,2.6738,2.2726,0.7411
1999-02,2.4187,2.1739,0.6662
1999-03,2.1671,2.1111,0.7868
1999-04,2.3939,2.3146,0.7211
1999-05,2.5263,2.4525,0.8544
1999-06,2.4684,2.2736,0.7418
1999-07,2.5555,2.4564,0.7207
1999-08,2.3498,2.1116,0.5011
1999-09,1.9357,2.4363,0.5776
1999-10,1.8363,2.2637,0.559
1999-11,2.0902,2.2437,0.7082
1999-12,2.484,2.459,0.6532
2000-01,2.3401,2.3875,0.5921
2000-02,2.3953,1.9391,0.4845
2000-03,2.5451,2.1305,0.643
2000-04,2.3649,2.0316,0.5854
2000-05,2.1595,2.1263,0.4952
2000-06,2.0739,1.8623,0.4161
2000-07,1.9325,1.8156,0.4327
2000-08,1.8998,1.6532,0.5223
2000-09,2.1262,1.8593,0.5622
2000-10,2.1549,1.8746,0.5707
2000-11,2.2306,2.0077,0.4655
2000-12,2.1305,2.0881,0.3442
2001-01,2.4345,2.1228,0.3235
2001-02,2.8189,2.28,0.3137
2001-03,2.6223,1.386,0.3306
2001-04,2.3431,1.6307,0.4106
2001-05,2.2352,1.8976,0.4431
2001-06,2.2266,2.1202,0.7094
2001-07,2.1473,1.8303,0.5721
2001-08,2.0607,1.8245,0.8154
2001-09,2.387,1.9406,0.8383
2001-10,2.4162,2.1276,0.9559
2001-11,2.7188,2.2731,0.9928
2001-12,3.0586,2.7732,1.1254
2002-01,2.9601,3.1303,1.0999
2002-02,3.1486,3.493,1.389
2002-03,3.1141,3.1526,1.3301
2002-04,3.3386,3.2527,1.1703
2002-05,3.5989,3.6034,1.5246
2002-06,3.5889,3.3423,1.2847
2002-07,3.8694,2.8583,1.2662
2002-08,4.5255,3.0862,1.2469
2002-09,5.576,3.1896,1.4352
2002-10,5.378,3.4338,1.8931
2002-11,5.23,3.4323,1.9531
2002-12,6.0456,3.3438,2.0315
2003-01,6.1422,3.8232,2.0551
2003-02,6.3351,3.7344,2.1919
2003-03,6.6125,3.6151,2.0304
2003-04,5.8769,3.5082,2.2588
2003-05,5.8343,4.0945,3.0143
2003-06,4.7043,4.2697,3.3889
2003-07,4.6234,4.84,3.3096
2003-08,5.1908,4.8213,3.3477
2003-09,5.6196,4.8334,3.3525
2003-10,6.3199,5.4131,3.8867
2003-11,6.1006,5.3128,3.7884
2003-12,6.4353,5.4237,4.1332
2004-01,7.2361,6.4639,4.3153
2004-02,6.8628,6.5038,4.318
2004-03,6.6057,6.0469,3.9259
2004-04,7.3974,6.5222,4.0821
2004-05,7.1528,5.9774,4.1243
2004-06,6.9039,5.3187,4.3862
2004-07,7.8606,5.8845,4.5169
2004-08,7.6589,6.0589,4.3229
2004-09,8.4128,6.9658,4.8973
2004-10,8.0755,6.9733,4.6921
2004-11,7.9362,6.219,4.4116
2004-12,8.7215,6.9308,5.1803
2005-01,8.9976,7.2094,4.8082
2005-02,8.629,7.0484,4.5663
2005-03,7.9266,6.8512,3.8636
2005-04,8.5737,7.5223,4.3976
2005-05,8.2853,7.0535,4.8888
2005-06,8.1935,7.1479,5.339
2005-07,7.4374,6.4793,5.3402
2005-08,7.3139,6.5378,5.0715
2005-09,8.4916,7.496,4.8767
2005-10,8.8606,8.0823,5.0772
2005-11,7.1332,8.1176,4.9928
2005-12,7.7592,7.2563,5.6352
2006-01,9.0036,7.662,5.7608
2006-02,9.7295,8.9953,5.1345
2006-03,10.5618,9.6246,5.448
2006-04,11.0311,8.7365,5.0339
2006-05,10.7352,8.2626,5.0807
2006-06,11.674,8.5979,5.0816
2006-07,11.3722,7.8821,5.4722
2006-08,11.2518,7.9644,5.4527
2006-09,11.7079,9.7219,5.777
2006-10,11.608,10.0137,6.0048
2006-11,12.8737,10.5132,6.9986
2006-12,11.8678,9.8916,7.0775
2007-01,12.5879,9.8616,7.2254
2007-02,13.5419,10.3433,7.0896
2007-03,12.789,9.8149,6.6412
2007-04,12.0063,8.9538,6.7139
2007-05,11.8911,8.5876,6.4597
2007-06,13.2822,9.43,6.7538
2007-07,12.2433,7.108,6.417
2007-08,13.0823,9.0012,6.7763
2007-09,13.1041,9.9662,6.6029
2007-10,12.9858,9.6635,6.1281
2007-11,14.1691,10.3803,6.4531
2007-12,13.8658,10.7856,6.7093
2008-01,13.1955,11.3295,6.5638
2008-02,15.4069,12.8054,7.2945
2008-03,15.0429,12.1819,6.1081
2008-04,14.7174,11.4731,6.0372
2008-05,15.2814,11.0623,6.4233
2008-06,14.2248,11.0653,6.6513
2008-07,12.6143,10.0965,7.0006
2008-08,12.946,10.7657,8.0834
2008-09,13.5337,10.5702,8.8978
2008-10,13.5726,10.7987,8.418
2008-11,13.2058,10.7123,9.0485
2008-12,12.8846,10.1286,8.0842
2009-01,12.8084,9.9137,8.1311
2009-02,13.9748,11.4772,9.6552
2009-03,12.6446,10.0833,7.6244
2009-04,10.6011,8.6463,6.3346
2009-05,10.8785,9.3677,6.3871
2009-06,11.2372,9.7408,6.9758
2009-07,12.662,11.1878,8.6851
2009-08,12.3398,10.6661,7.8976
2009-09,11.6245,9.8002,7.3965
2009-10,12.1979,10.4573,8.337
2009-11,13.4965,11.5695,9.0174
2009-12,13.2574,11.4743,8.5974
2010-01,14.1243,11.8551,8.7697
2010-02,13.1595,10.832,8.0787
2010-03,12.5682,11.1688,7.9835
2010-04,13.2769,11.8771,8.8093
2010-05,12.4384,10.8595,8.7612
2010-06,11.7868,9.9684,8.3179
2010-07,12.5008,10.8025,7.9491
2010-08,12.2677,10.6844,8.0382
2010-09,14.0206,12.2003,9.6468
2010-10,13.5748,12.3969,9.9999
2010-11,11.468,10.3816,7.4951
2010-12,11.6745,10.4027,7.0377
2011-01,11.0955,10.4632,7.3018
2011-02,10.5901,9.9434,7.4313
2011-03,10.0229,9.6399,7.1289
2011-04,10.4746,9.9523,7.0602
2011-05,10.1378,8.8876,6.3511
2011-06,10.553,8.5448,6.0387
2011-07,9.5834,7.9084,6.1686
2011-08,9.2994,8.2222,6.1006
2011-09,9.5715,8.6227,6.0935
2011-10,9.3127,8.6763,5.3242
2011-11,10.2053,9.5763,6.4356
2011-12,10.893,9.8722,7.3936
2012-01,11.5049,10.0759,7.2619
2012-02,11.3137,9.8615,7.1479
2012-03,10.8179,9.5318,6.422
2012-04,9.6324,8.2294,5.2713
2012-05,9.2354,8.0815,5.3046
2012-06,9.9509,8.9729,5.5602
2012-07,9.8109,9.5144,5.7136
2012-08,10.3727,9.7512,5.9294
2012-09,9.9593,8.7924,5.6615
2012-10,9.4543,8.2205,5.6759
2012-11,9.6125,9.1202,5.9045
2012-12,8.8601,8.4068,6.052
2013-01,7.0213,6.9104,4.9385
2013-02,6.4796,6.2744,4.1413
2013-03,6.0682,5.6861,3.0646
2013-04,5.4291,5.3219,2.9247
2013-05,4.8828,4.435,2.5317
2013-06,5.1818,5.0924,2.7587
2013-07,5.7216,5.6016,2.9005
2013-08,7.3439,7.6658,3.8281
2013-09,7.8725,8.0696,4.0552
2013-10,6.891,6.9412,3.2579
2013-11,5.9679,5.8082,2.6019
2013-12,5.4298,5.2709,2.6849
2014-01,6.2831,5.832,3.0088
2014-02,5.7778,5.7836,2.8108
2014-03,5.4148,5.3595,2.601
2014-04,5.0473,5.5206,2.4104
2014-05,5.2128,5.4597,2.1828
2014-06,5.4848,5.1333,2.3612
2014-07,5.3235,5.019,2.1854
2014-08,5.0918,5.0916,1.8905
2014-09,4.7246,4.8434,2.1735
2014-10,5.0635,4.5263,2.0333
2014-11,4.9246,4.5118,1.7975
2014-12,5.1894,4.8867,1.9994
2015-01,5.6871,5.8113,2.2641
2015-02,5.4889,5.0858,2.2438
2015-03,5.0217,4.7889,2.0531
2015-04,4.9141,4.4458,2.0928
2015-05,4.7964,4.0106,1.8753
2015-06,4.333,3.9159,1.4759
2015-07,3.4081,4.1007,1.5884
2015-08,3.3878,3.9711,1.4282
2015-09,3.3542,3.9062,1.3643
2015-10,3.7843,3.8721,1.1333
2015-11,3.8171,3.7701,1.0672
2015-12,4.3427,3.6081,1.2489
2016-01,5.047,4.0669,1.5617
2016-02,4.752,3.9461,1.4108
2016-03,4.0287,3.4133,1.2547
2016-04,3.995,3.5422,1.1671
2016-05,3.5933,3.762,1.0731
2016-06,2.5452,2.6913,0.7048
2016-07,1.8418,1.6246,0.5102
2016-08,1.6167,1.0698,0.2884
2016-09,1.5414,1.2089,0.3294
2016-10,0.7553,0.6447,0.2632
2016-11,0.2198,0.2265,0.1295
2016-12,0.2752,0.1031,0.0284
